Unnamed: 0,5,1,1.1,1.2,2,1.3,3,1.4,1.5,2.1
pocako,sipelose,peba,?,kuduhoni,koco,nanukifu,rico,halolago,zalibe,pemilo
pocako,vuhisu,somikeme,zoko,mipu,culo,berodami,rico,?,zalibe,pemilo
pocako,lefi,coguviho,?,mipu,ragoci,catulafi,rico,dabilari,zalibe,pemilo
pocako,zuki,somikeme,zoko,difo,culo,sena,rico,sapa,?,pemilo
pocako,zifoludi,?,buda,hocavoto,koco,nanukifu,gariti,dabilari,zalibe,dodive
pocako,cumisave,somikeme,zoko,mipu,culo,nanukifu,rico,?,zalibe,pemilo
pocako,?,somikeme,tupatila,mipu,culo,sena,rico,sapa,zalibe,pemilo
pocako,nara,somikeme,?,mipu,culo,sena,veziba,sapa,fuku,pemilo
pocako,zuki,dedama,zoko,mipu,?,sena,some,sapa,zalibe,pemilo
pocako,?,somikeme,zoko,mipu,rucazedi,sena,rico,sapa,zalibe,pemilo
pocako,nara,somikeme,zoko,mipu,culo,sena,?,sapa,zalibe,pemilo
pocako,sipelose,sidolova,kahizapo,difo,culo,lenazazu,?,kifi,zalibe,dodive
?,cumisave,somikeme,zoko,mipu,culo,lenazazu,rico,sapa,zalibe,pemilo
pocako,zifoludi,?,larisona,cubofagu,koco,lunu,vada,temudufu,monide,dodive
pocako,zoheva,peba,mezo,vofapade,pahakona,sena,rucepo,bicaca,?,dodive
pocako,zuki,somikeme,zoko,mipu,culo,sena,some,?,zalibe,pemilo
pocako,zuki,somikeme,zoko,?,culo,sena,rico,sapa,zalibe,pemilo
pocako,reteko,favami,siza,dubuzi,?,nanukifu,rucepo,sapa,zubuca,dodive
pocako,lefi,somikeme,?,mipu,culo,sena,rico,sapa,zalibe,pemilo
pocako,zoheva,sidolova,tupatila,cubofagu,gaga,nanukifu,vada,kifi,?,dodive
pocako,?,hezivaza,larisona,difo,pahakona,podabaze,febepepo,kove,zalibe,dodive
pocako,vuhisu,somikeme,zoko,mipu,culo,sena,some,sapa,zalibe,?
pocako,zifoludi,peba,larisona,mipu,culo,miga,?,bicaca,zalibe,dodive
pocako,cumisave,somikeme,zoko,mipu,culo,sena,rico,sapa,zalibe,?
pocako,sipelose,dedama,kahizapo,vofapade,?,podabaze,rico,nevica,zalibe,dodive
pocako,vuhisu,dedama,zoko,?,rucazedi,sena,some,sapa,zalibe,pemilo
pocako,sipelose,somikeme,zoko,mipu,culo,sena,some,?,zalibe,pemilo
?,nara,somikeme,zoko,mipu,culo,sena,some,sapa,zalibe,pemilo
pocako,cumisave,somikeme,kahizapo,?,culo,sena,veziba,sapa,zalibe,pemilo
pocako,vuhisu,somikeme,zoko,mipu,?,sena,some,sapa,zalibe,pemilo
pocako,nara,somikeme,zoko,?,culo,sena,rico,sapa,zalibe,pemilo
