Unnamed: 0,5,1,1.1,1.2,2,1.3,3,1.4,1.5,2.1
pocako,vabe,mavoka,?,difo,pahakona,nanukifu,febepepo,kove,tecu,dodive
pocako,lefi,somikeme,zoko,mipu,culo,sena,?,sapa,zalibe,pemilo
pocako,?,somikeme,zoko,mipu,culo,sena,veziba,sapa,zalibe,pemilo
pocako,cumisave,dedama,?,mipu,culo,sena,some,sapa,zalibe,pemilo
pocako,?,somikeme,zoko,mipu,culo,sena,rico,sapa,zalibe,pemilo
pocako,reteko,fotu,buda,cubofagu,koco,nanukifu,febepepo,?,monide,dodive
pocako,vuhisu,somikeme,gogugo,?,culo,miga,rico,sapa,zalibe,pemilo
pocako,cumisave,?,zoko,mipu,culo,sena,veziba,sapa,zalibe,pemilo
?,cumisave,somikeme,zoko,mipu,culo,sena,rico,sapa,zalibe,pemilo
pocako,zifoludi,fotu,buda,?,regibesa,nanukifu,febepepo,bicaca,kacelu,dodive
