f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
B,M,H,?,I,M,F,F,H,M,M,L,I,F,I,F
C,N,L,?,M,M,M,B,M,C,H,F,M,F,H,L
B,L,C,M,?,F,C,C,B,M,C,L,H,F,M,I
H,P,C,F,?,H,M,P,P,M,M,C,I,F,B,F
H,L,M,M,B,B,N,D,H,A,M,H,D,P,D,?
B,L,H,C,K,H,M,M,P,C,C,A,D,M,B,?
H,L,C,C,I,H,?,F,L,L,F,O,K,P,B,L
I,I,H,B,D,L,?,I,D,H,A,F,K,P,E,F
C,?,F,M,M,C,M,I,H,M,F,P,F,N,B,M
D,L,E,?,D,M,M,H,I,M,C,F,E,F,E,F
I,M,H,H,I,M,O,?,I,C,N,L,K,N,D,F
I,H,H,B,?,L,H,I,C,J,H,P,E,M,E,M
C,F,L,P,L,M,B,B,K,C,B,?,F,C,N,M
D,I,I,K,D,M,L,I,M,P,M,C,D,?,B,C
M,P,F,?,H,F,M,I,C,P,H,M,K,F,H,L
K,I,B,K,D,?,K,K,K,M,K,F,K,C,K,M
H,P,M,F,H,H,H,?,L,C,K,P,I,M,B,H
D,I,K,D,D,C,B,D,F,F,I,P,?,M,K,F
D,E,K,E,E,M,M,K,P,F,C,?,E,F,C,F
D,D,D,K,D,M,M,?,M,M,C,F,E,F,K,F
I,M,B,H,I,C,F,C,C,C,L,?,I,L,E,F
L,L,M,A,H,?,F,B,I,C,N,H,H,P,C,C
I,M,B,H,I,M,M,F,H,?,H,C,I,F,I,F
K,D,I,K,D,M,C,P,D,M,L,F,?,C,E,F
D,?,E,C,E,M,M,B,B,M,C,F,E,F,E,F
K,B,B,C,B,F,N,I,I,H,F,L,?,N,H,C
B,F,C,C,H,C,M,H,B,M,C,?,H,F,C,P
M,N,L,?,N,F,H,B,I,C,H,P,F,M,L,A
B,L,H,F,H,F,F,M,B,?,F,L,K,F,B,L
B,M,C,P,M,F,L,H,D,F,C,C,H,N,?,C
D,D,K,?,D,M,M,N,D,M,C,F,I,F,E,F
C,M,F,H,B,M,C,I,M,P,M,L,I,F,I,?
F,P,F,?,B,M,P,H,C,B,H,P,L,F,K,F
H,P,H,F,B,F,M,F,?,P,H,F,I,F,I,F
I,D,H,I,I,C,M,?,F,M,C,P,C,F,B,L
B,P,C,F,?,M,M,H,B,M,C,M,M,C,F,A
B,P,C,F,I,F,C,I,M,G,C,P,D,C,?,M
I,?,B,B,I,H,L,K,C,P,M,M,K,M,B,B
H,C,C,C,H,F,L,I,C,C,C,L,?,L,M,L
I,?,H,C,B,C,C,C,C,M,H,N,K,P,B,L
I,F,B,?,D,M,M,B,B,M,C,F,I,F,B,F
K,B,B,K,D,C,?,K,M,N,M,F,D,F,B,C
I,C,B,B,K,?,M,K,L,N,H,F,K,F,C,F
B,L,H,C,?,M,H,I,E,C,D,F,K,M,D,M
B,C,H,B,K,H,N,?,F,N,L,H,D,N,K,B
C,P,L,M,C,N,C,?,H,L,I,C,L,F,K,L
K,H,?,B,D,L,C,K,C,J,H,L,D,C,D,M
I,K,?,B,I,M,M,C,M,M,C,L,K,F,C,L
B,N,C,F,B,I,N,K,M,N,?,C,D,P,I,H
K,I,I,K,D,M,M,?,H,P,M,P,K,L,B,P
I,L,B,M,I,L,C,K,H,N,B,L,D,C,?,H
K,C,K,B,D,L,M,E,F,N,?,C,E,M,D,M
B,F,C,C,M,M,F,H,?,M,L,F,C,F,I,F
