f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
B,F,C,C,I,C,O,K,B,C,N,L,K,P,D,F
H,F,C,C,B,L,M,B,C,P,I,C,K,M,H,P
B,M,H,H,I,M,F,F,H,M,M,L,I,F,I,F
I,B,H,I,K,C,L,K,B,P,M,M,H,F,D,F
C,N,L,F,M,M,M,B,M,C,H,F,M,F,H,L
I,M,B,H,I,B,L,K,F,P,F,P,K,F,B,H
B,L,C,M,C,F,C,C,B,M,C,L,H,F,M,I
I,F,H,C,C,C,C,H,K,F,F,L,H,L,H,F
H,P,C,F,I,H,M,P,P,M,M,C,I,F,B,F
K,K,I,I,K,H,N,B,H,N,L,H,D,P,I,C
H,L,M,M,B,B,N,D,H,A,M,H,D,P,D,M
B,L,H,C,K,H,M,M,P,C,C,A,D,M,B,L
H,L,C,C,I,H,F,F,L,L,F,O,K,P,B,L
I,I,H,B,D,L,L,I,D,H,A,F,K,P,E,F
E,E,E,E,E,M,M,B,B,M,C,F,E,F,E,F
C,N,H,F,B,L,F,K,I,O,H,C,K,L,M,L
C,F,F,M,M,C,M,I,H,M,F,P,F,N,B,M
F,O,C,C,B,N,H,H,H,N,K,F,C,C,C,P
D,L,E,C,D,M,M,H,I,M,C,F,E,F,E,F
H,N,C,F,L,L,L,C,K,C,M,L,O,O,C,M
I,M,H,H,I,M,O,K,I,C,N,L,K,N,D,F
M,P,M,M,C,H,P,B,I,L,M,M,L,A,I,B
I,H,H,B,K,L,H,I,C,J,H,P,E,M,E,M
H,P,M,F,L,F,H,C,I,M,M,F,F,M,B,M
C,F,L,P,L,M,B,B,K,C,B,C,F,C,N,M
B,P,H,F,I,I,M,C,N,M,C,G,E,F,M,C
I,B,B,I,I,C,M,B,F,M,C,N,I,F,H,P
K,D,I,K,D,P,C,K,M,N,B,F,D,M,D,M
D,I,I,K,D,M,L,I,M,P,M,C,D,F,B,C
B,L,B,H,K,L,I,B,H,O,B,A,K,C,H,L
M,P,F,M,H,F,M,I,C,P,H,M,K,F,H,L
K,I,B,K,D,F,K,K,K,M,K,F,K,C,K,M
K,C,I,B,D,F,H,A,H,C,A,F,I,L,E,F
H,P,M,F,H,H,H,D,L,C,K,P,I,M,B,H
D,I,K,K,D,N,C,D,C,N,I,M,E,M,E,F
D,I,K,D,D,C,B,D,F,F,I,P,E,M,K,F
D,E,K,E,E,M,M,K,P,F,C,F,E,F,C,F
B,I,H,B,K,M,M,F,F,M,C,F,I,F,B,F
D,D,D,K,D,M,M,D,M,M,C,F,E,F,K,F
I,C,B,B,K,H,P,F,K,M,B,F,K,M,C,N
I,B,I,I,I,M,M,H,F,M,C,F,K,F,C,L
I,F,C,C,I,L,P,D,C,B,N,F,D,N,K,L
H,N,M,F,H,F,F,C,M,P,C,B,B,M,H,P
K,C,B,B,D,F,H,I,D,M,D,F,K,M,K,F
I,M,B,H,I,C,F,C,C,C,L,L,I,L,E,F
H,O,I,M,K,P,H,H,B,A,I,L,K,F,B,P
L,L,M,A,H,M,F,B,I,C,N,H,H,P,C,C
B,F,C,C,M,M,F,C,B,C,C,F,C,L,M,P
I,M,B,H,I,M,M,F,H,C,H,C,I,F,I,F
B,L,C,C,B,H,H,K,L,B,K,M,I,M,K,H
K,D,I,K,D,M,C,P,D,M,L,F,M,C,E,F
K,I,I,H,K,I,M,C,P,M,C,J,E,F,M,F
D,H,E,C,E,M,M,B,B,M,C,F,E,F,E,F
I,H,B,B,K,C,F,M,M,L,F,O,K,P,B,P
K,B,B,C,B,F,N,I,I,H,F,L,K,N,H,C
